original_sentence,processed_tokens
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
91534,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
37683,
"var, let ve const farkları nelerdir?",var let const fark ne
61640,
Python'da dictionary nedir?,pytho dictionary ne
24786,
C# ile dosya nasıl okunur?,dosya okunur
33742,
JavaScript'te closure nedir?,javascript closure ne
93591,
"var, let ve const farkları nelerdir?",var let const fark ne
20243,
Arrow function nedir?,arrow function ne
91318,
Python'da dictionary nedir?,pytho dictionary ne
57997,
Arrow function nedir?,arrow function ne
94150,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
63329,
C# ile dosya nasıl okunur?,dosya okunur
26733,
Python'da dictionary nedir?,pytho dictionary ne
99134,
JavaScript'te closure nedir?,javascript closure ne
35889,
"var, let ve const farkları nelerdir?",var let const fark ne
94923,
Algoritma nedir?,algoritma ne
70592,
Event bubbling nedir?,event bubblingi ne
56633,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
37483,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
61124,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
85972,
async ve await nasıl kullanılır?,async await kullanılır
72066,
Veri yapıları nelerdir?,ver yapı ne
68522,
LINQ ne işe yarar?,linq iş yarar
24303,
JavaScript'te promise nasıl kullanılır?,javascript promis kullanılır
71571,
JavaScript'te promise nasıl kullanılır?,javascript promis kullanılır
43292,
async ve await nasıl kullanılır?,async await kullanılır
33365,
Algoritma nedir?,algoritma ne
1955,
Arrow function nedir?,arrow function ne
81406,
C# dilinde interface nedir?,dil interfaç ne
3376,
JavaScript'te promise nasıl kullanılır?,javascript promis kullanılır
34606,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
83559,
Veri yapıları nelerdir?,ver yapı ne
31024,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
2198,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
87175,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
58403,
Python'da dictionary nedir?,pytho dictionary ne
11219,
Arrow function nedir?,arrow function ne
99267,
Event bubbling nedir?,event bubblingi ne
85137,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
26749,
lambda fonksiyonu nasıl kullanılır?,lamp fonksiyo kullanılır
51542,
C# ile dosya nasıl okunur?,dosya okunur
89130,
Algoritma nedir?,algoritma ne
7975,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
13635,
OOP nedir ve dört temel özelliği nelerdir?,oop ne dört temel özellik ne
30894,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
12021,
C# dilinde interface nedir?,dil interfaç ne
23513,
delegate nedir?,delega ne
83475,
C# ile dosya nasıl okunur?,dosya okunur
23043,
Python'da dictionary nedir?,pytho dictionary ne
68607,
Algoritma nedir?,algoritma ne
27190,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
98112,
async ve await nasıl kullanılır?,async await kullanılır
5139,
JavaScript'te promise nasıl kullanılır?,javascript promis kullanılır
17935,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
80012,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
10220,
Algoritma nedir?,algoritma ne
41373,
Algoritma nedir?,algoritma ne
49067,
Event bubbling nedir?,event bubblingi ne
788,
Veri yapıları nelerdir?,ver yapı ne
18263,
Python'da dictionary nedir?,pytho dictionary ne
18630,
Algoritma nedir?,algoritma ne
82610,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
77238,
C# dilinde interface nedir?,dil interfaç ne
41362,
JavaScript'te closure nedir?,javascript closure ne
26172,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
15781,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
8497,
JavaScript'te closure nedir?,javascript closure ne
59544,
C# ile dosya nasıl okunur?,dosya okunur
56667,
C# ile dosya nasıl okunur?,dosya okunur
76204,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
18570,
Arrow function nedir?,arrow function ne
85288,
C# dilinde interface nedir?,dil interfaç ne
50428,
Python'da dictionary nedir?,pytho dictionary ne
26059,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
91049,
"var, let ve const farkları nelerdir?",var let const fark ne
63253,
Python'da dictionary nedir?,pytho dictionary ne
64764,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
4947,
Stack ile Queue farkı nedir?,stack queu farkı ne
1451,
OOP nedir ve dört temel özelliği nelerdir?,oop ne dört temel özellik ne
68854,
Event bubbling nedir?,event bubblingi ne
58328,
async ve await nasıl kullanılır?,async await kullanılır
35403,
C# dilinde interface nedir?,dil interfaç ne
76672,
C# ile dosya nasıl okunur?,dosya okunur
72756,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
1509,
JavaScript'te closure nedir?,javascript closure ne
52860,
JavaScript'te closure nedir?,javascript closure ne
24763,
lambda fonksiyonu nasıl kullanılır?,lamp fonksiyo kullanılır
65352,
JavaScript'te closure nedir?,javascript closure ne
78758,
range() fonksiyonu ne işe yarar?,range fonksiyo iş yarar
37333,
lambda fonksiyonu nasıl kullanılır?,lamp fonksiyo kullanılır
58237,
JavaScript'te promise nasıl kullanılır?,javascript promis kullanılır
72832,
Python'da dictionary nedir?,pytho dictionary ne
94520,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
46287,
"var, let ve const farkları nelerdir?",var let const fark ne
24658,
JavaScript'te closure nedir?,javascript closure ne
47540,
OOP nedir ve dört temel özelliği nelerdir?,oop ne dört temel özellik ne
399,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
71997,
Python'da liste nasıl ters çevrilir?,pytho lis ters çevrilir
49849,
Recursion nedir ve ne zaman kullanılır?,recursion ne zama kullanılır
54528,
C# ile dosya nasıl okunur?,dosya okunur
33521,
Python'da 'with' ifadesi ne işe yarar?,pytho with ifades iş yarar
89940,
JavaScript'te closure nedir?,javascript closure ne
41634,
Stack ile Queue farkı nedir?,stack queu farkı ne
21764,
async ve await nasıl kullanılır?,async await kullanılır
38410,
Python'da dictionary nedir?,pytho dictionary ne
24369,
