original_sentence,processed_tokens
range() fonksiyonu ne işe yarar?,Range fonksiyon işemek yarar
91534,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
37683,
"var, let ve const farkları nelerdir?",var Unk Unk fark ne
61640,
Python'da dictionary nedir?,Python Unk ne
24786,
C# ile dosya nasıl okunur?,dosya okumak
33742,
JavaScript'te closure nedir?,Javascript Unk ne
93591,
"var, let ve const farkları nelerdir?",var Unk Unk fark ne
20243,
Arrow function nedir?,Arrow Unk ne
91318,
Python'da dictionary nedir?,Python Unk ne
57997,
Arrow function nedir?,Arrow Unk ne
94150,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
63329,
C# ile dosya nasıl okunur?,dosya okumak
26733,
Python'da dictionary nedir?,Python Unk ne
99134,
JavaScript'te closure nedir?,Javascript Unk ne
35889,
"var, let ve const farkları nelerdir?",var Unk Unk fark ne
94923,
Algoritma nedir?,algoritma ne
70592,
Event bubbling nedir?,Event Unk ne
56633,
range() fonksiyonu ne işe yarar?,Range fonksiyon işemek yarar
37483,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
61124,
Recursion nedir ve ne zaman kullanılır?,Unk ne zaman kullanmak
85972,
async ve await nasıl kullanılır?,Unk Unk kullanmak
72066,
Veri yapıları nelerdir?,veri yapı ne
68522,
LINQ ne işe yarar?,Unk işemek yarar
24303,
JavaScript'te promise nasıl kullanılır?,Javascript Promise kullanmak
71571,
JavaScript'te promise nasıl kullanılır?,Javascript Promise kullanmak
43292,
async ve await nasıl kullanılır?,Unk Unk kullanmak
33365,
Algoritma nedir?,algoritma ne
1955,
Arrow function nedir?,Arrow Unk ne
81406,
C# dilinde interface nedir?,dil Unk ne
3376,
JavaScript'te promise nasıl kullanılır?,Javascript Promise kullanmak
34606,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
83559,
Veri yapıları nelerdir?,veri yapı ne
31024,
Python'da 'with' ifadesi ne işe yarar?,Python With ifade işemek yarar
2198,
Python'da 'with' ifadesi ne işe yarar?,Python With ifade işemek yarar
87175,
range() fonksiyonu ne işe yarar?,Range fonksiyon işemek yarar
58403,
Python'da dictionary nedir?,Python Unk ne
11219,
Arrow function nedir?,Arrow Unk ne
99267,
Event bubbling nedir?,Event Unk ne
85137,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
26749,
lambda fonksiyonu nasıl kullanılır?,Lamb fonksiyon kullanmak
51542,
C# ile dosya nasıl okunur?,dosya okumak
89130,
Algoritma nedir?,algoritma ne
7975,
Recursion nedir ve ne zaman kullanılır?,Unk ne zaman kullanmak
13635,
OOP nedir ve dört temel özelliği nelerdir?,Unk ne dört temel özellik ne
30894,
Python'da liste nasıl ters çevrilir?,Python List ters çevirmek
12021,
C# dilinde interface nedir?,dil Unk ne
23513,
delegate nedir?,Unk ne
83475,
C# ile dosya nasıl okunur?,dosya okumak
23043,
Python'da dictionary nedir?,Python Unk ne
68607,
Algoritma nedir?,algoritma ne
27190,
range() fonksiyonu ne işe yarar?,Range fonksiyon işemek yarar
98112,
async ve await nasıl kullanılır?,Unk Unk kullanmak
5139,
JavaScript'te promise nasıl kullanılır?,Javascript Promise kullanmak
17935,
Recursion nedir ve ne zaman kullanılır?,Unk ne zaman kullanmak
80012,
range() fonksiyonu ne işe yarar?,Range fonksiyon işemek yarar
10220,
Algoritma nedir?,algoritma ne
41373,
Algoritma nedir?,algoritma ne
49067,
Event bubbling nedir?,Event Unk ne
788,
Veri yapıları nelerdir?,veri yapı ne
18263,
Python'da dictionary nedir?,Python Unk ne
18630,
